WELCOME 2 1697792    RTT: 403703 ns
WELCOME 2 1720320    RTT: 299402 ns
WELCOME 2 1613824    RTT: 170156 ns
WELCOME 2 807936    RTT: 166238 ns
WELCOME 2 325632    RTT: 173423 ns
WELCOME 2 1685504    RTT: 3131596 ns
WELCOME 2 1418240    RTT: 371070 ns
WELCOME 2 675840    RTT: 298849 ns
WELCOME 2 1031168    RTT: 166639 ns
WELCOME 2 812032    RTT: 173309 ns
WELCOME 2 1163264    RTT: 163312 ns
WELCOME 2 1948672    RTT: 160151 ns
WELCOME 2 343040    RTT: 169469 ns
WELCOME 2 1848320    RTT: 173166 ns
WELCOME 2 742400    RTT: 156093 ns
WELCOME 2 372736    RTT: 110479 ns
WELCOME 2 1022976    RTT: 159467 ns
WELCOME 2 1642496    RTT: 153570 ns
WELCOME 2 2000896    RTT: 167082 ns
WELCOME 2 1944576    RTT: 500506 ns
WELCOME 2 972800    RTT: 157321 ns
WELCOME 2 1616896    RTT: 1605757 ns
WELCOME 2 452608    RTT: 311813 ns
WELCOME 2 2026496    RTT: 165914 ns
WELCOME 2 1746944    RTT: 169986 ns
WELCOME 2 562176    RTT: 159468 ns
WELCOME 2 1188864    RTT: 163601 ns
WELCOME 2 1000448    RTT: 156852 ns
WELCOME 2 1612800    RTT: 154767 ns
WELCOME 2 888832    RTT: 164625 ns
WELCOME 2 1114112    RTT: 151490 ns
WELCOME 2 2013184    RTT: 151130 ns
WELCOME 2 1249280    RTT: 159515 ns
WELCOME 2 1137664    RTT: 176471 ns
WELCOME 2 2043904    RTT: 173729 ns
WELCOME 2 1070080    RTT: 166539 ns
WELCOME 2 633856    RTT: 164942 ns
WELCOME 2 1556480    RTT: 520925 ns
WELCOME 2 901120    RTT: 346069 ns
WELCOME 2 911360    RTT: 169649 ns
WELCOME 2 1937408    RTT: 157523 ns
WELCOME 2 1781760    RTT: 202282 ns
WELCOME 2 477184    RTT: 218135 ns
WELCOME 2 331776    RTT: 161751 ns
WELCOME 2 339968    RTT: 159788 ns
WELCOME 2 1139712    RTT: 165775 ns
WELCOME 2 1753088    RTT: 176248 ns
WELCOME 2 1575936    RTT: 6372439 ns
WELCOME 2 1118208    RTT: 420293 ns
WELCOME 2 971776    RTT: 416193 ns
WELCOME 2 402432    RTT: 416657 ns
WELCOME 2 484352    RTT: 418253 ns
WELCOME 2 1487872    RTT: 164856 ns
WELCOME 2 1712128    RTT: 154459 ns
WELCOME 2 1752064    RTT: 166603 ns
WELCOME 2 1271808    RTT: 3148721 ns
WELCOME 2 1005568    RTT: 291275 ns
WELCOME 2 762880    RTT: 170097 ns
WELCOME 2 478208    RTT: 178747 ns
WELCOME 2 748544    RTT: 160797 ns
WELCOME 2 2018304    RTT: 1830691 ns
WELCOME 2 1133568    RTT: 302858 ns
WELCOME 2 1523712    RTT: 221343 ns
WELCOME 2 721920    RTT: 295308 ns
WELCOME 2 809984    RTT: 176470 ns
WELCOME 2 1986560    RTT: 289765 ns
WELCOME 2 1121280    RTT: 2509487 ns
WELCOME 2 1656832    RTT: 1196488 ns
WELCOME 2 1144832    RTT: 482589 ns
WELCOME 2 1977344    RTT: 5718364 ns
WELCOME 2 689152    RTT: 2165279 ns
WELCOME 2 1116160    RTT: 539292 ns
WELCOME 2 1899520    RTT: 859068 ns
WELCOME 2 602112    RTT: 415764 ns
WELCOME 2 1038336    RTT: 185708 ns
WELCOME 2 356352    RTT: 1318070 ns
WELCOME 2 1674240    RTT: 162111 ns
WELCOME 2 831488    RTT: 311424 ns
WELCOME 2 843776    RTT: 286723 ns
WELCOME 2 645120    RTT: 164659 ns
WELCOME 2 1695744    RTT: 281825 ns
WELCOME 2 337920    RTT: 280323 ns
WELCOME 2 1748992    RTT: 171232 ns
WELCOME 2 1373184    RTT: 279628 ns
WELCOME 2 389120    RTT: 280057 ns
WELCOME 2 1180672    RTT: 162150 ns
WELCOME 2 661504    RTT: 150826 ns
WELCOME 2 771072    RTT: 281777 ns
WELCOME 2 1188864    RTT: 298825 ns
WELCOME 2 1464320    RTT: 2048395 ns
WELCOME 2 656384    RTT: 166181 ns
WELCOME 2 1040384    RTT: 162586 ns
WELCOME 2 309248    RTT: 174262 ns
WELCOME 2 1231872    RTT: 151369 ns
WELCOME 2 483328    RTT: 150683 ns
WELCOME 2 1591296    RTT: 161455 ns
WELCOME 2 882688    RTT: 146114 ns
WELCOME 2 867328    RTT: 145991 ns
WELCOME 2 724992    RTT: 159436 ns
WELCOME 2 1782784    RTT: 146579 ns
WELCOME 2 676864    RTT: 135542 ns
WELCOME 2 763904    RTT: 3815697 ns
WELCOME 2 1113088    RTT: 363833 ns
WELCOME 2 854016    RTT: 379935 ns
WELCOME 2 471040    RTT: 363410 ns
WELCOME 2 703488    RTT: 373572 ns
WELCOME 2 774144    RTT: 2355279 ns
WELCOME 2 1383424    RTT: 1470579 ns
WELCOME 2 1104896    RTT: 290411 ns
WELCOME 2 1871872    RTT: 163740 ns
WELCOME 2 1117184    RTT: 186396 ns
WELCOME 2 1240064    RTT: 153314 ns
WELCOME 2 556032    RTT: 156158 ns
WELCOME 2 714752    RTT: 164001 ns
WELCOME 2 536576    RTT: 150779 ns
WELCOME 2 357376    RTT: 152159 ns
WELCOME 2 997376    RTT: 162694 ns
WELCOME 2 1544192    RTT: 165045 ns
WELCOME 2 861184    RTT: 151589 ns
WELCOME 2 1284096    RTT: 158345 ns
WELCOME 2 1689600    RTT: 146181 ns
WELCOME 2 1976320    RTT: 148301 ns
WELCOME 2 1044480    RTT: 190417 ns
WELCOME 2 1305600    RTT: 2405444 ns
WELCOME 2 1927168    RTT: 305961 ns
WELCOME 2 561152    RTT: 164184 ns
WELCOME 2 1039360    RTT: 159294 ns
WELCOME 2 1533952    RTT: 148075 ns
WELCOME 2 1665024    RTT: 139543 ns
WELCOME 2 1500160    RTT: 155747 ns
WELCOME 2 532480    RTT: 144709 ns
WELCOME 2 704512    RTT: 140107 ns
WELCOME 2 1927168    RTT: 139237 ns
WELCOME 2 1415168    RTT: 160479 ns
WELCOME 2 1311744    RTT: 140517 ns
WELCOME 2 467968    RTT: 139757 ns
WELCOME 2 1138688    RTT: 141323 ns
WELCOME 2 1114112    RTT: 151409 ns
WELCOME 2 367616    RTT: 148181 ns
WELCOME 2 1857536    RTT: 143914 ns
WELCOME 2 694272    RTT: 152335 ns
WELCOME 2 1451008    RTT: 144085 ns
WELCOME 2 1613824    RTT: 230595 ns
WELCOME 2 434176    RTT: 269676 ns
WELCOME 2 1961984    RTT: 138692 ns
WELCOME 2 459776    RTT: 139055 ns
WELCOME 2 1179648    RTT: 156600 ns
WELCOME 2 1568768    RTT: 108445 ns
WELCOME 2 323584    RTT: 150448 ns
WELCOME 2 1814528    RTT: 129587 ns
WELCOME 2 430080    RTT: 138880 ns
WELCOME 2 746496    RTT: 153519 ns
WELCOME 2 467968    RTT: 159032 ns
WELCOME 2 1889280    RTT: 4191946 ns
WELCOME 2 1092608    RTT: 308447 ns
WELCOME 2 1051648    RTT: 168929 ns
WELCOME 2 521216    RTT: 215781 ns
WELCOME 2 966656    RTT: 170634 ns
WELCOME 2 433152    RTT: 174556 ns
WELCOME 2 826368    RTT: 155642 ns
WELCOME 2 1020928    RTT: 159603 ns
WELCOME 2 1448960    RTT: 156713 ns
WELCOME 2 1464320    RTT: 773565 ns
WELCOME 2 1448960    RTT: 172474 ns
WELCOME 2 1664000    RTT: 288462 ns
WELCOME 2 1193984    RTT: 179249 ns
WELCOME 2 978944    RTT: 296236 ns
WELCOME 2 1822720    RTT: 167195 ns
WELCOME 2 700416    RTT: 282998 ns
WELCOME 2 1576960    RTT: 166515 ns
WELCOME 2 1584128    RTT: 289371 ns
WELCOME 2 530432    RTT: 172881 ns
WELCOME 2 1596416    RTT: 288418 ns
WELCOME 2 1218560    RTT: 157091 ns
WELCOME 2 916480    RTT: 294653 ns
WELCOME 2 880640    RTT: 182234 ns
WELCOME 2 900096    RTT: 155417 ns
WELCOME 2 1406976    RTT: 279390 ns
WELCOME 2 769024    RTT: 164802 ns
WELCOME 2 568320    RTT: 277679 ns
WELCOME 2 385024    RTT: 174373 ns
WELCOME 2 732160    RTT: 157383 ns
WELCOME 2 794624    RTT: 150570 ns
WELCOME 2 452608    RTT: 1684753 ns
WELCOME 2 1060864    RTT: 290352 ns
WELCOME 2 1181696    RTT: 160320 ns
WELCOME 2 654336    RTT: 156087 ns
WELCOME 2 1302528    RTT: 517785 ns
WELCOME 2 1557504    RTT: 167591 ns
WELCOME 2 1276928    RTT: 161171 ns
WELCOME 2 907264    RTT: 169288 ns
WELCOME 2 1554432    RTT: 175664 ns
WELCOME 2 1599488    RTT: 150134 ns
WELCOME 2 1920000    RTT: 167691 ns
WELCOME 2 855040    RTT: 104986 ns
WELCOME 2 1045504    RTT: 2038564 ns
WELCOME 2 509952    RTT: 530781 ns
WELCOME 2 546816    RTT: 8486954 ns
WELCOME 2 823296    RTT: 734853 ns
WELCOME 2 762880    RTT: 396080 ns
WELCOME 2 1716224    RTT: 193076 ns
WELCOME 2 1136640    RTT: 172753 ns
WELCOME 2 809984    RTT: 155829 ns
WELCOME 2 1606656    RTT: 162568 ns
WELCOME 2 1751040    RTT: 158524 ns
WELCOME 2 2007040    RTT: 150450 ns
WELCOME 2 1198080    RTT: 147363 ns
WELCOME 2 774144    RTT: 157720 ns
WELCOME 2 863232    RTT: 144558 ns
WELCOME 2 1468416    RTT: 153863 ns
WELCOME 2 1879040    RTT: 147646 ns
WELCOME 2 923648    RTT: 144987 ns
WELCOME 2 789504    RTT: 154877 ns
WELCOME 2 1173504    RTT: 3818628 ns
WELCOME 2 423936    RTT: 3000627 ns
WELCOME 2 1216512    RTT: 197047 ns
WELCOME 2 871424    RTT: 392670 ns
WELCOME 2 769024    RTT: 1111679 ns
WELCOME 2 722944    RTT: 318260 ns
WELCOME 2 1260544    RTT: 158510 ns
WELCOME 2 1083392    RTT: 179694 ns
WELCOME 2 943104    RTT: 158653 ns
WELCOME 2 1763328    RTT: 196318 ns
WELCOME 2 1280000    RTT: 203432 ns
WELCOME 2 971776    RTT: 424928 ns
WELCOME 2 579584    RTT: 168516 ns
WELCOME 2 1993728    RTT: 157436 ns
WELCOME 2 350208    RTT: 147871 ns
WELCOME 2 973824    RTT: 161229 ns
WELCOME 2 765952    RTT: 150462 ns
WELCOME 2 1710080    RTT: 162073 ns
WELCOME 2 915456    RTT: 143432 ns
WELCOME 2 1011712    RTT: 159195 ns
WELCOME 2 648192    RTT: 143933 ns
WELCOME 2 446464    RTT: 162814 ns
WELCOME 2 1168384    RTT: 135034 ns
WELCOME 2 994304    RTT: 151666 ns
WELCOME 2 731136    RTT: 144438 ns
WELCOME 2 500736    RTT: 146831 ns
WELCOME 2 1664000    RTT: 152804 ns
WELCOME 2 722944    RTT: 135887 ns
WELCOME 2 1601536    RTT: 147780 ns
WELCOME 2 1427456    RTT: 146377 ns
WELCOME 2 1605632    RTT: 156133 ns
WELCOME 2 463872    RTT: 154229 ns
WELCOME 2 1061888    RTT: 107088 ns
WELCOME 2 1165312    RTT: 149008 ns
WELCOME 2 1714176    RTT: 189790 ns
WELCOME 2 784384    RTT: 2240513 ns
WELCOME 2 1740800    RTT: 277112 ns
WELCOME 2 1094656    RTT: 152476 ns
WELCOME 2 614400    RTT: 159071 ns
WELCOME 2 1497088    RTT: 147289 ns
WELCOME 2 644096    RTT: 146214 ns
WELCOME 2 579584    RTT: 153641 ns
WELCOME 2 1069056    RTT: 143965 ns
WELCOME 2 1362944    RTT: 144734 ns
WELCOME 2 480256    RTT: 144695 ns
WELCOME 2 1454080    RTT: 156410 ns
WELCOME 2 378880    RTT: 150029 ns
WELCOME 2 683008    RTT: 4561307 ns
WELCOME 2 343040    RTT: 157391 ns
WELCOME 2 753664    RTT: 158423 ns
WELCOME 2 1799168    RTT: 166778 ns
WELCOME 2 1258496    RTT: 152392 ns
WELCOME 2 485376    RTT: 153962 ns
WELCOME 2 1571840    RTT: 156011 ns
WELCOME 2 1895424    RTT: 147634 ns
WELCOME 2 1373184    RTT: 148016 ns
WELCOME 2 1658880    RTT: 151303 ns
WELCOME 2 1139712    RTT: 156149 ns
WELCOME 2 1020928    RTT: 245157 ns
WELCOME 2 1195008    RTT: 4699646 ns
WELCOME 2 1021952    RTT: 399608 ns
WELCOME 2 862208    RTT: 281777 ns
WELCOME 2 506880    RTT: 154663 ns
WELCOME 2 1561600    RTT: 677383 ns
WELCOME 2 394240    RTT: 191703 ns
WELCOME 2 1069056    RTT: 661373 ns
WELCOME 2 749568    RTT: 216380 ns
WELCOME 2 1297408    RTT: 164479 ns
WELCOME 2 1556480    RTT: 3510957 ns
WELCOME 2 1970176    RTT: 370707 ns
WELCOME 2 551936    RTT: 1706968 ns
WELCOME 2 1631232    RTT: 404034 ns
WELCOME 2 1580032    RTT: 1118215 ns
WELCOME 3 1826816    RTT: 251600 ns
WELCOME 3 1761280    RTT: 275846 ns
WELCOME 3 655360    RTT: 184081 ns
WELCOME 3 2008064    RTT: 167652 ns
WELCOME 3 1252352    RTT: 151437 ns
WELCOME 3 804864    RTT: 147664 ns
WELCOME 3 1741824    RTT: 153576 ns
WELCOME 3 464896    RTT: 151974 ns
WELCOME 3 1788928    RTT: 889644 ns
WELCOME 3 1299456    RTT: 161946 ns
WELCOME 3 351232    RTT: 279284 ns
WELCOME 3 440320    RTT: 175771 ns
WELCOME 3 531456    RTT: 161271 ns
WELCOME 3 359424    RTT: 152891 ns
WELCOME 3 923648    RTT: 153353 ns
WELCOME 3 1983488    RTT: 154061 ns
