WELCOME 2 1806336    RTT: 134849 ns
WELCOME 2 1093632    RTT: 132419 ns
WELCOME 2 481280    RTT: 144080 ns
WELCOME 2 947200    RTT: 164728 ns
WELCOME 2 1625088    RTT: 1883447 ns
WELCOME 2 1905664    RTT: 276427 ns
WELCOME 2 1670144    RTT: 143876 ns
WELCOME 2 546816    RTT: 146671 ns
WELCOME 2 1406976    RTT: 183044 ns
WELCOME 2 1261568    RTT: 162734 ns
WELCOME 2 836608    RTT: 168772 ns
WELCOME 2 1382400    RTT: 157577 ns
WELCOME 2 1987584    RTT: 141969 ns
WELCOME 2 1615872    RTT: 159007 ns
WELCOME 2 344064    RTT: 132417 ns
WELCOME 2 985088    RTT: 3877936 ns
WELCOME 2 1651712    RTT: 375097 ns
WELCOME 2 729088    RTT: 175503 ns
WELCOME 2 566272    RTT: 272714 ns
WELCOME 2 1601536    RTT: 150435 ns
WELCOME 2 1395712    RTT: 287389 ns
WELCOME 2 1158144    RTT: 3031318 ns
WELCOME 2 739328    RTT: 1375612 ns
WELCOME 2 1209344    RTT: 273297 ns
WELCOME 2 1727488    RTT: 155206 ns
WELCOME 2 2002944    RTT: 160985 ns
WELCOME 2 464896    RTT: 1536829 ns
WELCOME 2 908288    RTT: 176642 ns
WELCOME 2 956416    RTT: 146360 ns
WELCOME 2 1247232    RTT: 145056 ns
WELCOME 2 1592320    RTT: 146459 ns
WELCOME 2 1072128    RTT: 207331 ns
WELCOME 2 1189888    RTT: 154526 ns
WELCOME 2 309248    RTT: 150103 ns
WELCOME 2 974848    RTT: 166808 ns
WELCOME 2 1909760    RTT: 138457 ns
WELCOME 2 1796096    RTT: 142015 ns
WELCOME 2 701440    RTT: 136366 ns
WELCOME 2 1395712    RTT: 144139 ns
WELCOME 2 569344    RTT: 137990 ns
WELCOME 2 1327104    RTT: 134206 ns
WELCOME 2 507904    RTT: 135539 ns
WELCOME 2 919552    RTT: 144407 ns
WELCOME 2 1577984    RTT: 141545 ns
WELCOME 2 352256    RTT: 133297 ns
WELCOME 2 716800    RTT: 147048 ns
WELCOME 2 923648    RTT: 140201 ns
WELCOME 2 1310720    RTT: 130576 ns
WELCOME 2 1991680    RTT: 135834 ns
WELCOME 2 1006592    RTT: 127308 ns
WELCOME 2 485376    RTT: 140914 ns
WELCOME 2 347136    RTT: 130257 ns
WELCOME 2 722944    RTT: 129675 ns
WELCOME 2 584704    RTT: 128928 ns
WELCOME 2 1837056    RTT: 142403 ns
WELCOME 2 1970176    RTT: 136729 ns
WELCOME 2 1053696    RTT: 160475 ns
WELCOME 2 1945600    RTT: 129290 ns
WELCOME 2 1333248    RTT: 146295 ns
WELCOME 2 1690624    RTT: 180756 ns
WELCOME 2 1831936    RTT: 165001 ns
WELCOME 2 1441792    RTT: 113267 ns
WELCOME 2 555008    RTT: 147829 ns
WELCOME 2 1340416    RTT: 138066 ns
WELCOME 2 616448    RTT: 168550 ns
WELCOME 2 1351680    RTT: 139599 ns
WELCOME 2 690176    RTT: 144598 ns
WELCOME 2 1272832    RTT: 150087 ns
WELCOME 2 1178624    RTT: 137552 ns
WELCOME 2 1950720    RTT: 138815 ns
WELCOME 2 1459200    RTT: 138332 ns
WELCOME 2 442368    RTT: 152875 ns
WELCOME 2 1881088    RTT: 148262 ns
WELCOME 2 831488    RTT: 139033 ns
WELCOME 2 1036288    RTT: 138429 ns
WELCOME 2 1719296    RTT: 150166 ns
WELCOME 2 1657856    RTT: 141745 ns
WELCOME 2 1660928    RTT: 140532 ns
WELCOME 2 730112    RTT: 144840 ns
WELCOME 2 759808    RTT: 158126 ns
WELCOME 2 619520    RTT: 141828 ns
WELCOME 2 1027072    RTT: 146426 ns
WELCOME 2 1751040    RTT: 134745 ns
WELCOME 2 677888    RTT: 149879 ns
WELCOME 2 1403904    RTT: 144336 ns
WELCOME 2 2024448    RTT: 136736 ns
WELCOME 2 565248    RTT: 180429 ns
WELCOME 2 1384448    RTT: 968423 ns
WELCOME 2 881664    RTT: 144244 ns
WELCOME 2 598016    RTT: 276938 ns
WELCOME 2 443392    RTT: 171341 ns
WELCOME 2 1318912    RTT: 151123 ns
WELCOME 2 1035264    RTT: 197116 ns
WELCOME 2 781312    RTT: 176178 ns
WELCOME 2 752640    RTT: 150845 ns
WELCOME 2 1726464    RTT: 147267 ns
WELCOME 2 527360    RTT: 160878 ns
WELCOME 2 709632    RTT: 133452 ns
WELCOME 2 796672    RTT: 643558 ns
WELCOME 2 759808    RTT: 282594 ns
WELCOME 2 397312    RTT: 148443 ns
WELCOME 2 1936384    RTT: 150349 ns
WELCOME 2 325632    RTT: 175302 ns
WELCOME 2 1223680    RTT: 148638 ns
WELCOME 2 1913856    RTT: 164943 ns
WELCOME 2 1782784    RTT: 147025 ns
WELCOME 2 1538048    RTT: 166992 ns
WELCOME 2 1212416    RTT: 157041 ns
WELCOME 2 926720    RTT: 478556 ns
WELCOME 2 1307648    RTT: 145821 ns
WELCOME 2 704512    RTT: 2483706 ns
WELCOME 2 1865728    RTT: 5311340 ns
WELCOME 2 468992    RTT: 10045816 ns
WELCOME 2 600064    RTT: 298645 ns
WELCOME 2 809984    RTT: 157635 ns
WELCOME 2 1953792    RTT: 134451 ns
WELCOME 2 516096    RTT: 132010 ns
WELCOME 2 367616    RTT: 132160 ns
WELCOME 2 376832    RTT: 139661 ns
WELCOME 2 604160    RTT: 127519 ns
WELCOME 2 1859584    RTT: 129419 ns
WELCOME 2 1519616    RTT: 122773 ns
WELCOME 2 1865728    RTT: 217260 ns
WELCOME 2 372736    RTT: 259232 ns
WELCOME 2 1355776    RTT: 142490 ns
WELCOME 2 516096    RTT: 143984 ns
WELCOME 2 1243136    RTT: 135812 ns
WELCOME 2 965632    RTT: 136774 ns
WELCOME 2 457728    RTT: 138371 ns
WELCOME 2 1972224    RTT: 2715361 ns
WELCOME 2 1259520    RTT: 953722 ns
WELCOME 2 1128448    RTT: 137540 ns
WELCOME 2 1094656    RTT: 767731 ns
WELCOME 2 1761280    RTT: 3625429 ns
WELCOME 2 1901568    RTT: 620740 ns
WELCOME 2 470016    RTT: 156789 ns
WELCOME 2 2040832    RTT: 129179 ns
WELCOME 2 1724416    RTT: 146782 ns
WELCOME 2 309248    RTT: 549426 ns
WELCOME 2 1567744    RTT: 272479 ns
WELCOME 2 857088    RTT: 135687 ns
WELCOME 2 621568    RTT: 149582 ns
WELCOME 2 592896    RTT: 133417 ns
WELCOME 2 1460224    RTT: 326708 ns
WELCOME 2 1646592    RTT: 168443 ns
WELCOME 2 427008    RTT: 133805 ns
WELCOME 2 959488    RTT: 147552 ns
WELCOME 2 345088    RTT: 115108 ns
WELCOME 2 1331200    RTT: 145699 ns
WELCOME 2 1656832    RTT: 123994 ns
WELCOME 2 1373184    RTT: 120060 ns
WELCOME 2 1063936    RTT: 116169 ns
WELCOME 2 399360    RTT: 133476 ns
WELCOME 2 703488    RTT: 120493 ns
WELCOME 2 1597440    RTT: 116487 ns
WELCOME 2 1755136    RTT: 85107 ns
WELCOME 2 423936    RTT: 3378555 ns
WELCOME 2 1717248    RTT: 258351 ns
WELCOME 2 1816576    RTT: 163661 ns
WELCOME 2 1809408    RTT: 148016 ns
WELCOME 2 970752    RTT: 135512 ns
WELCOME 2 1339392    RTT: 122931 ns
WELCOME 2 1824768    RTT: 125730 ns
WELCOME 2 877568    RTT: 135621 ns
WELCOME 2 1158144    RTT: 121131 ns
WELCOME 2 522240    RTT: 125523 ns
WELCOME 2 1978368    RTT: 121127 ns
WELCOME 2 1226752    RTT: 134072 ns
WELCOME 2 1894400    RTT: 125810 ns
WELCOME 2 425984    RTT: 142008 ns
WELCOME 2 1254400    RTT: 113464 ns
WELCOME 2 1288192    RTT: 153729 ns
WELCOME 2 631808    RTT: 117209 ns
WELCOME 2 1008640    RTT: 125339 ns
WELCOME 2 1602560    RTT: 4331194 ns
WELCOME 2 1073152    RTT: 141598 ns
WELCOME 2 967680    RTT: 133443 ns
WELCOME 2 879616    RTT: 140161 ns
WELCOME 2 482304    RTT: 129914 ns
WELCOME 2 819200    RTT: 130020 ns
WELCOME 2 932864    RTT: 128517 ns
WELCOME 2 1673216    RTT: 129189 ns
WELCOME 2 1771520    RTT: 125075 ns
WELCOME 2 626688    RTT: 151741 ns
WELCOME 2 951296    RTT: 122730 ns
WELCOME 2 709632    RTT: 154665 ns
WELCOME 2 618496    RTT: 4886665 ns
WELCOME 2 1451008    RTT: 202389 ns
WELCOME 2 1511424    RTT: 256983 ns
WELCOME 2 961536    RTT: 145250 ns
WELCOME 2 1519616    RTT: 129393 ns
WELCOME 2 1615872    RTT: 127145 ns
WELCOME 2 788480    RTT: 119706 ns
WELCOME 2 1419264    RTT: 493527 ns
WELCOME 2 1677312    RTT: 248851 ns
WELCOME 2 608256    RTT: 122897 ns
WELCOME 2 843776    RTT: 6631951 ns
WELCOME 2 1119232    RTT: 390931 ns
WELCOME 2 1240064    RTT: 368667 ns
WELCOME 2 545792    RTT: 836357 ns
