WELCOME 2 1088512    RTT: 346153 ns
WELCOME 2 553984    RTT: 373606 ns
WELCOME 2 1953792    RTT: 350561 ns
WELCOME 2 1112064    RTT: 2406397 ns
WELCOME 2 1178624    RTT: 359444 ns
WELCOME 2 612352    RTT: 683373 ns
WELCOME 2 1826816    RTT: 346941 ns
WELCOME 2 624640    RTT: 355924 ns
WELCOME 2 1640448    RTT: 384081 ns
WELCOME 2 2001920    RTT: 356292 ns
WELCOME 2 1498112    RTT: 327980 ns
WELCOME 2 1751040    RTT: 358221 ns
WELCOME 2 1331200    RTT: 324757 ns
WELCOME 2 897024    RTT: 331436 ns
WELCOME 2 1320960    RTT: 333754 ns
WELCOME 2 1444864    RTT: 342249 ns
WELCOME 2 993280    RTT: 389927 ns
WELCOME 2 861184    RTT: 346775 ns
WELCOME 2 1464320    RTT: 326007 ns
WELCOME 2 1684480    RTT: 332469 ns
WELCOME 2 946176    RTT: 338738 ns
WELCOME 2 967680    RTT: 325150 ns
WELCOME 2 337920    RTT: 336762 ns
WELCOME 2 754688    RTT: 345385 ns
WELCOME 2 1084416    RTT: 279000 ns
WELCOME 2 1583104    RTT: 377249 ns
WELCOME 2 1869824    RTT: 325107 ns
WELCOME 2 793600    RTT: 330223 ns
WELCOME 2 910336    RTT: 374464 ns
WELCOME 2 439296    RTT: 461560 ns
WELCOME 2 755712    RTT: 363956 ns
WELCOME 2 1031168    RTT: 390430 ns
WELCOME 2 1071104    RTT: 1165439 ns
WELCOME 2 710656    RTT: 347352 ns
WELCOME 2 625664    RTT: 2298884 ns
WELCOME 2 1879040    RTT: 408813 ns
WELCOME 2 333824    RTT: 336766 ns
WELCOME 2 505856    RTT: 389396 ns
WELCOME 2 475136    RTT: 338693 ns
WELCOME 2 1807360    RTT: 347333 ns
WELCOME 2 1473536    RTT: 338322 ns
WELCOME 2 702464    RTT: 1291918 ns
WELCOME 2 2004992    RTT: 350216 ns
WELCOME 2 1275904    RTT: 380786 ns
WELCOME 2 787456    RTT: 329725 ns
WELCOME 2 1002496    RTT: 329115 ns
WELCOME 2 612352    RTT: 354517 ns
WELCOME 2 1460224    RTT: 383107 ns
